post_url,post_author,post_id,burst_timestamp,commenters_in_burst,burst_window_minutes,commenter_slugs
https://www.linkedin.com/posts/victortrieu_the-donkey-in-the-well-activity-7437818464016220160-yiB5,victortrieu,7437818464016220160,2026-03-12T11:17:56,16,56.5,diannewblack;donnetta-kay;dr-mrinalini-garv;embracefulfillment;ernest-simonyan;hasansajid;jessicaesamuels;mariasabio;minudatta;posts;sanjivberi;sara-a-riedel;sliwowskik;steveabramson;steveob;thomastsangaras
https://www.linkedin.com/posts/victortrieu_every-sunday-night-you-promise-yourself-activity-7434572046606434307-iK17,victortrieu,7434572046606434307,2026-03-03T12:17:42,16,57.3,captshawnsequeira;diannewblack;hasansajid;ionaholloway;karen-stone-performancehabits;kristaps-kazaks;lingabson;mariasabio;maryam-jan-akbari;michellemaldonado;minudatta;posts;sanjivberi;sara-a-riedel;shreyavohora;steveabramson
https://www.linkedin.com/posts/victortrieu_i-had-7-mental-health-spirals-my-leaders-activity-7433122485568544768-GHr_,victortrieu,7433122485568544768,2026-02-27T12:20:24,16,58.2,alex-de-jong;captshawnsequeira;diannewblack;hasansajid;jessicaesamuels;kristaps-kazaks;mariasabio;mitapatel1;mohammed-kasujee;posts;sanjivberi;sara-a-riedel;shreyavohora;steveabramson;steveob;tiffanymasson
https://www.linkedin.com/posts/sara-a-riedel_ai-isnt-a-new-tool-its-a-new-way-of-working-activity-7442914546333298688-IFFg,sara-a-riedel,7442914546333298688,2026-03-26T13:12:17,15,53.0,ben-gusberg;bridgett-strickler;ebonybeckwith;geezulkifli;karen-stone-performancehabits;lingabson;maryam-jan-akbari;nandiitaa;patrickcattin;priscila-pree-silva;rashmirbalasubramaniam;renemadden;sineadmodonovan;steveabramson;tiffanymasson
https://www.linkedin.com/posts/nandiitaa_%F0%9D%97%AC%F0%9D%97%BC%F0%9D%98%82%F0%9D%97%BF-%F0%9D%97%B5%F0%9D%97%B6%F0%9D%97%BF%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4-%F0%9D%97%BD%F0%9D%97%BF%F0%9D%97%BC%F0%9D%97%B0%F0%9D%97%B2%F0%9D%98%80%F0%9D%98%80-%F0%9D%98%81%F0%9D%97%AE-activity-7437123856827301889-fEKD,nandiitaa,7437123856827301889,2026-03-10T13:44:14,15,59.5,alliestories8;ben-gusberg;bridgett-strickler;diannewblack;ionaholloway;jorgecalzada;lingabson;maryam-jan-akbari;michellemaldonado;mohammed-kasujee;priscila-pree-silva;renemadden;sara-a-riedel;sharongreene-strategic-foresights;tiffanymasson
https://www.linkedin.com/posts/alliestories8_the-mindset-that-unlocks-human-potential-activity-7443273131995271168-1Q0N,alliestories8,7443273131995271168,2026-03-27T12:41:23,15,57.0,alliestories8;diannewblack;ionaholloway;jorgecalzada;maryam-jan-akbari;melisabuie;mennosiebinga;mohammed-kasujee;patrickcattin;priscila-pree-silva;rahul-g-iyer;sanjivberi;sineadmodonovan;sridharkuppa;steveabramson
https://www.linkedin.com/posts/alliestories8_the-bravest-thing-you-can-do-at-midlife-activity-7440374038448844800-KK02,alliestories8,7440374038448844800,2026-03-19T12:30:21,15,59.1,alliestories8;captshawnsequeira;dartarieks;diannewblack;jorgecalzada;lingabson;maryam-jan-akbari;michaela-daly-fcca;mitapatel1;mohammed-kasujee;patrickcattin;sanjivberi;sineadmodonovan;steveabramson;thejenstanford
https://www.linkedin.com/posts/victortrieu_i-burned-out-6x-as-a-senior-leader-the-7th-activity-7443254265923657729-KL0s,victortrieu,7443254265923657729,2026-03-27T11:18:16,15,56.1,ayyycamacho;donnetta-kay;dr-mrinalini-garv;ebonybeckwith;embracefulfillment;ionaholloway;joyadass;minudatta;patrickcattin;posts;rupalyadav999;sanjivberi;sara-a-riedel;thomastsangaras;tiffanymasson
https://www.linkedin.com/posts/sara-a-riedel_every-strategic-decision-in-pharma-eventually-activity-7439653056356581377-6K4G,sara-a-riedel,7439653056356581377,2026-03-17T13:10:30,14,49.0,dartarieks;ebonybeckwith;hasansajid;karen-stone-performancehabits;mariasabio;maryam-jan-akbari;michellemaldonado;mohammed-kasujee;nandiitaa;patrickcattin;petrawuest;rashmirbalasubramaniam;renemadden;steveabramson
https://www.linkedin.com/posts/sara-a-riedel_why-klc-leadership-labs-are-a-game-changer-activity-7434232301728731137-4LJr,sara-a-riedel,7434232301728731137,2026-03-02T13:49:51,14,56.2,bridgett-strickler;bryceplatt;dartarieks;jessicaesamuels;jorgecalzada;lingabson;mariasabio;maryam-jan-akbari;michellemaldonado;nandiitaa;priscila-pree-silva;rashmirbalasubramaniam;sara-a-riedel;tiffanymasson
https://www.linkedin.com/posts/lingabson_40-of-employess-become-disengaged-when-they-activity-7440011670778851328-l1_H,lingabson,7440011670778851328,2026-03-18T13:07:58,14,54.6,alliestories8;dartarieks;hasansajid;ionaholloway;kristaps-kazaks;mariasabio;mennosiebinga;minudatta;mohammed-kasujee;nandiitaa;posts;renemadden;sara-a-riedel;sineadmodonovan
https://www.linkedin.com/posts/lingabson_great-leaders-run-11s-differently-theyve-activity-7439286893529436160-Z_y5,lingabson,7439286893529436160,2026-03-16T12:34:03,14,55.6,alliestories8;dartarieks;hasansajid;karen-stone-performancehabits;marcellabremer;mariaee;mariasabio;maryam-jan-akbari;petrawuest;raahul-seshadri;rashmirbalasubramaniam;sara-a-riedel;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/dartarieks_the-worst-leaders-respond-fastest-let-that-activity-7432412821432406016-SuLV,dartarieks,7432412821432406016,2026-02-25T13:39:20,14,59.0,akshaymahajan1;alliestories8;ionaholloway;jeremiah-teo-charisma-business-coach;jessicaesamuels;jorgecalzada;karansingh---;karen-stone-performancehabits;kristaps-kazaks;mariaee;minudatta;renemadden;sharongreene-strategic-foresights;steveabramson
https://www.linkedin.com/posts/victortrieu_their-plan-born-in-a-box-die-in-a-box-activity-7441804719934685184-JO2n,victortrieu,7441804719934685184,2026-03-23T11:19:17,14,59.0,ayyycamacho;diannewblack;donnetta-kay;drbatliwala;embracefulfillment;jessicaesamuels;kristaps-kazaks;mariasabio;minudatta;patrickcattin;posts;sliwowskik;steveob;thomastsangaras
https://www.linkedin.com/posts/victortrieu_he-had-312313-followers-he-still-made-time-activity-7440717574214078464-9FHo,victortrieu,7440717574214078464,2026-03-20T11:22:44,14,49.2,dartarieks;diannewblack;donnetta-kay;dr-mrinalini-garv;ionaholloway;joyadass;maryam-jan-akbari;minudatta;paulemslie;posts;sanjivberi;sliwowskik;steveabramson;thomastsangaras
https://www.linkedin.com/posts/victortrieu_how-i-grew-2013-linkedin-followers-in-13-activity-7440355509238530049-aidl,victortrieu,7440355509238530049,2026-03-19T11:31:13,14,58.5,ayyycamacho;diannewblack;embracefulfillment;hasansajid;jessicaesamuels;karen-stone-performancehabits;karirusso;mariasabio;minudatta;mitapatel1;patrickcattin;posts;rupalyadav999;steveob
https://www.linkedin.com/posts/victortrieu_i-left-corporate-to-be-a-better-dad-then-activity-7439992768803852290-6fFM,victortrieu,7439992768803852290,2026-03-18T11:16:34,14,59.0,diannewblack;donnetta-kay;dr-mrinalini-garv;ionaholloway;jarrodsouza;jessicaesamuels;karen-stone-performancehabits;mennosiebinga;michellemaldonado;minudatta;patrickcattin;posts;sanjivberi;thomastsangaras
https://www.linkedin.com/posts/victortrieu_corporate-didnt-break-me-i-broke-myself-activity-7432760100974665728-2OWs,victortrieu,7432760100974665728,2026-02-26T12:16:34,14,56.3,ayyycamacho;dartarieks;diannewblack;donnetta-kay;embracefulfillment;hasansajid;kristaps-kazaks;lingabson;mariasabio;mitapatel1;posts;sanjivberi;steveabramson;tiffanymasson
https://www.linkedin.com/posts/ashleymunday0_that-low-grade-stress-so-many-leaders-carry-activity-7434221064273944576-P9Mr,ashleymunday0,7434221064273944576,2026-03-02T13:08:23,14,53.2,dartarieks;diannewblack;lingabson;marcellabremer;mariaee;maryam-jan-akbari;minudatta;mitapatel1;renemadden;sara-a-riedel;sharongreene-strategic-foresights;sineadmodonovan;steveabramson;tiffanymasson
https://www.linkedin.com/posts/renemadden_my-performance-was-never-the-issue-my-emotions-activity-7443269359306756096-TKr-,renemadden,7443269359306756096,2026-03-27T12:24:38,14,56.5,alliestories8;chrismurphyhq;diannewblack;ernest-simonyan;hasansajid;karirusso;lynnetlevy;michellemaldonado;patrickcattin;posts;renemadden;sara-a-riedel;sineadmodonovan;sridharkuppa
https://www.linkedin.com/posts/renemadden_leaders-think-silence-protects-their-teams-activity-7442906966051606528-ZsPM,renemadden,7442906966051606528,2026-03-26T12:19:39,14,52.5,dartarieks;diannewblack;jonathanmaddock;jorgecalzada;karirusso;lingabson;marcellabremer;maryam-jan-akbari;michellemaldonado;patrickcattin;petrawuest;posts;renemadden;sineadmodonovan
https://www.linkedin.com/posts/sara-a-riedel_you-ask-ai-to-draft-an-email-it-sounds-like-activity-7442201223442706433-aQ9v,sara-a-riedel,7442201223442706433,2026-03-24T13:32:27,13,41.3,ben-gusberg;caritanyberg;chrismurphyhq;karen-stone-performancehabits;karirusso;mariasabio;michellemaldonado;nandiitaa;patrickcattin;priscila-pree-silva;renemadden;sara-a-riedel;steveabramson
https://www.linkedin.com/posts/sara-a-riedel_a-restructuring-is-announced-but-youre-activity-7441830669594329090-zkKI,sara-a-riedel,7441830669594329090,2026-03-23T13:21:28,13,59.2,ben-gusberg;chrismurphyhq;ebonybeckwith;karen-stone-performancehabits;lingabson;mariasabio;maryam-jan-akbari;michellemaldonado;nandiitaa;petrawuest;renemadden;sineadmodonovan;tiffanymasson
https://www.linkedin.com/posts/maryam-jan-akbari_five-years-ago-i-believed-the-fastest-way-activity-7440366738040385537-TiSG,maryam-jan-akbari,7440366738040385537,2026-03-19T12:06:57,13,38.1,alliestories8;diannewblack;drbatliwala;embracefulfillment;inna-pearce-025a0513;lingabson;mariasabio;petrawuest;posts;raj-vaibhaav;renemadden;sara-a-riedel;sliwowskik
https://www.linkedin.com/posts/maryam-jan-akbari_storytelling-is-not-a-gift-its-leadership-activity-7437475596202532864-Wiy8,maryam-jan-akbari,7437475596202532864,2026-03-11T12:40:20,13,54.8,alliestories8;bridgett-strickler;diannewblack;drbatliwala;embracefulfillment;kristaps-kazaks;marcellabremer;mariasabio;petrawuest;priscila-pree-silva;sara-a-riedel;sliwowskik;victortrieu
https://www.linkedin.com/posts/sara-a-riedel_the-fastest-way-to-lose-a-high-performing-activity-7432782755471450112-b0fC,sara-a-riedel,7432782755471450112,2026-02-26T13:47:15,13,50.4,alliestories8;hasansajid;jessicaesamuels;karen-stone-performancehabits;lingabson;marcellabremer;mariasabio;mohammed-kasujee;sara-a-riedel;sharongreene-strategic-foresights;sineadmodonovan;steveabramson;tiffanymasson
https://www.linkedin.com/posts/dartarieks_yesterday-i-sat-with-two-women-building-something-activity-7443265611213836288-7MBU,dartarieks,7443265611213836288,2026-03-27T12:39:06,13,51.6,alliestories8;diannewblack;ebonybeckwith;jorgecalzada;lingabson;marcellabremer;melisabuie;mennosiebinga;mohammed-kasujee;patrickcattin;paulemslie;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/dartarieks_nobody-teaches-us-how-to-put-the-weight-down-activity-7440019296661151744-a_gc,dartarieks,7440019296661151744,2026-03-18T13:03:51,13,51.9,alliestories8;ionaholloway;kristaps-kazaks;lingabson;mohammed-kasujee;patrickcattin;renemadden;rupalyadav999;sanjivberi;sara-a-riedel;sharongreene-strategic-foresights;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/dartarieks_excellence-is-contagious-so-is-mediocrity-activity-7434583426990637056-QFYn,dartarieks,7434583426990637056,2026-03-03T13:03:24,13,54.7,alliestories8;karen-stone-performancehabits;kristaps-kazaks;lingabson;mahaalaoui;marcellabremer;mariaee;minudatta;petrawuest;renemadden;sara-a-riedel;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/dartarieks_its-been-5-years-of-ill-do-it-when-things-activity-7434219714698104832-z3fN,dartarieks,7434219714698104832,2026-03-02T13:07:51,13,57.0,akshaymahajan1;alliestories8;diannewblack;kristaps-kazaks;lingabson;mahaalaoui;marcellabremer;michaela-daly-fcca;mitapatel1;petrawuest;renemadden;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/lingabson_20-of-organizations-will-cut-half-their-activity-7435678188938092544-iI_0,lingabson,7435678188938092544,2026-03-06T13:37:04,13,59.7,alliestories8;ashleymunday0;geezulkifli;hasansajid;ionaholloway;jonathanmaddock;lingabson;mohammed-kasujee;nandiitaa;posts;raahul-seshadri;sara-a-riedel;sineadmodonovan
https://www.linkedin.com/posts/lingabson_i-just-passed-the-icf-pcc-certification-exam-activity-7433858593667383296-ODLk,lingabson,7433858593667383296,2026-03-01T13:04:19,13,55.7,alliestories8;ashleymunday0;diannewblack;geezulkifli;hasansajid;jessicaesamuels;kristaps-kazaks;mariaee;mitapatel1;mohammed-kasujee;raahul-seshadri;renemadden;steveabramson
https://www.linkedin.com/posts/alliestories8_this-is-how-we-undo-trust-with-one-careless-activity-7431329492276596736-32ej,alliestories8,7431329492276596736,2026-02-22T13:40:33,13,56.3,bryceplatt;geezulkifli;jorgecalzada;lingabson;lynnetlevy;mariaee;melisabuie;michellemaldonado;renemadden;rupalyadav999;sanjivberi;sara-a-riedel;steveabramson
https://www.linkedin.com/posts/victortrieu_i-burned-out-6x-as-a-banking-exec-i-was-activity-7442529473981337601-tsEp,victortrieu,7442529473981337601,2026-03-25T11:42:19,13,56.8,ashleymunday0;captshawnsequeira;dartarieks;ebonybeckwith;embracefulfillment;guneytopcu;karirusso;kristaps-kazaks;mennosiebinga;mitapatel1;sanjivberi;sliwowskik;steveob
https://www.linkedin.com/posts/victortrieu_familiar-can-feel-safe-even-when-its-killing-activity-7438180830696484864-Yq7I,victortrieu,7438180830696484864,2026-03-13T11:54:58,13,56.4,alex-de-jong;diannewblack;donnetta-kay;doravanourek;dr-mrinalini-garv;hasansajid;ionaholloway;jarrodsouza;kristaps-kazaks;mariasabio;minudatta;sliwowskik;steveabramson
https://www.linkedin.com/posts/victortrieu_i-looked-fine-at-work-no-one-saw-7-mental-activity-7433484872473690112-zpyl,victortrieu,7433484872473690112,2026-02-28T12:16:22,13,38.0,alex-de-jong;captshawnsequeira;dartarieks;donnetta-kay;hasansajid;mariaee;maryam-jan-akbari;minudatta;rupalyadav999;sanjivberi;steveabramson;steveob;tiffanymasson
https://www.linkedin.com/posts/sanjivberi_you-dont-have-a-health-problem-you-have-activity-7443261801523273728-Lg7k,sanjivberi,7443261801523273728,2026-03-27T11:59:21,13,56.2,ashleymunday0;captshawnsequeira;dartarieks;dr-mrinalini-garv;embracefulfillment;kristaps-kazaks;mennosiebinga;minudatta;posts;rupalyadav999;sanjivberi;sridharkuppa;yaseengilbert
https://www.linkedin.com/posts/sanjivberi_sleep-isnt-laziness-its-your-bodys-most-activity-7436738827651661825-UPxe,sanjivberi,7436738827651661825,2026-03-09T12:11:04,13,55.6,caitlin-connolly-elgin;dr-mrinalini-garv;embracefulfillment;hasansajid;jeremiah-teo-charisma-business-coach;jessicaesamuels;kristaps-kazaks;marcellabremer;mariasabio;maryam-jan-akbari;minudatta;posts;sanjivberi
https://www.linkedin.com/posts/ashleymunday0_seagull-leadership-stinks-activity-7442540901182177280-ZZye,ashleymunday0,7442540901182177280,2026-03-25T12:18:31,13,53.4,dr-mrinalini-garv;ebonybeckwith;ionaholloway;lingabson;melisabuie;michaela-daly-fcca;mohammed-kasujee;patrickcattin;paulemslie;rashmirbalasubramaniam;sara-a-riedel;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/renemadden_youre-silencing-your-top-performers-you-activity-7442544583411974144-x8dA,renemadden,7442544583411974144,2026-03-25T12:18:13,13,45.9,diannewblack;hasansajid;jonathanmaddock;jorgecalzada;karirusso;lingabson;michellemaldonado;patrickcattin;petrawuest;renemadden;sara-a-riedel;shreyavohora;sridharkuppa
https://www.linkedin.com/posts/renemadden_avoiding-feedback-doesnt-protect-people-activity-7435674629366714368-CBPp,renemadden,7435674629366714368,2026-03-06T13:20:51,13,57.7,akshaymahajan1;alliestories8;ashleymunday0;chrismurphyhq;geezulkifli;hasansajid;nandiitaa;posts;rahul-g-iyer;renemadden;rupalyadav999;sharongreene-strategic-foresights;sineadmodonovan
https://www.linkedin.com/posts/renemadden_packed-calendars-dont-just-happen-leaders-activity-7434224748324159488-KRd7,renemadden,7434224748324159488,2026-03-02T13:47:31,13,57.6,akshaymahajan1;alliestories8;bridgett-strickler;bryceplatt;jorgecalzada;lingabson;michaela-daly-fcca;michellemaldonado;mohammed-kasujee;nandiitaa;rashmirbalasubramaniam;rupalyadav999;sara-a-riedel
https://www.linkedin.com/posts/rupalyadav999_youre-not-stuck-youre-just-carrying-too-activity-7443277240878075904-752L,rupalyadav999,7443277240878075904,2026-03-27T13:04:11,12,56.0,captshawnsequeira;donnetta-kay;embracefulfillment;hasansajid;jessicaesamuels;karirusso;mariasabio;mennosiebinga;renemadden;shreyavohora;tiffanymasson;victortrieu
https://www.linkedin.com/posts/rupalyadav999_most-leaders-dont-have-a-performance-problem-activity-7440737954563719169-s5-W,rupalyadav999,7440737954563719169,2026-03-20T12:42:08,12,59.8,dartarieks;dianekucala;donnetta-kay;embracefulfillment;jessicaesamuels;jorgecalzada;karirusso;kristaps-kazaks;mariasabio;nandiitaa;raahul-seshadri;tiffanymasson
https://www.linkedin.com/posts/nandiitaa_hiring-growth-stratups-activity-7442197321335042048-v6Om,nandiitaa,7442197321335042048,2026-03-24T13:16:16,12,57.3,alliestories8;caritanyberg;diannewblack;ionaholloway;karen-stone-performancehabits;lingabson;michellemaldonado;priscila-pree-silva;renemadden;sara-a-riedel;steveabramson;tiffanymasson
https://www.linkedin.com/posts/sara-a-riedel_you-made-a-confident-decision-now-youre-activity-7442552144899002369-Wi5c,sara-a-riedel,7442552144899002369,2026-03-25T13:14:01,12,58.8,ben-gusberg;chrismurphyhq;diannewblack;ebonybeckwith;karen-stone-performancehabits;lingabson;melisabuie;nandiitaa;patrickcattin;priscila-pree-silva;renemadden;tiffanymasson
https://www.linkedin.com/posts/diannewblack_high-income-is-not-the-same-as-high-wealth-activity-7442195822043123712-qED-,diannewblack,7442195822043123712,2026-03-24T13:24:20,12,59.5,caritanyberg;chrismurphyhq;dianekucala;jessicaesamuels;mariasabio;mohammed-kasujee;nandiitaa;patrickcattin;priscila-pree-silva;renemadden;sara-a-riedel;steveabramson
https://www.linkedin.com/posts/sara-a-riedel_great-leaders-dont-guard-the-spotlight-activity-7440381837316677632-JVvi,sara-a-riedel,7440381837316677632,2026-03-19T13:14:00,12,57.0,alliestories8;caritanyberg;chrismurphyhq;ebonybeckwith;hasansajid;lingabson;maryam-jan-akbari;patrickcattin;priscila-pree-silva;renemadden;steveabramson;tiffanymasson
https://www.linkedin.com/posts/maryam-jan-akbari_these-8-reframe-change-how-you-lead-activity-7440728981139668992-TY8I,maryam-jan-akbari,7440728981139668992,2026-03-20T12:05:50,12,51.1,alliestories8;diannewblack;drbatliwala;inna-pearce-025a0513;mariaee;mariasabio;maryam-jan-akbari;posts;raj-vaibhaav;renemadden;sliwowskik;victortrieu
https://www.linkedin.com/posts/maryam-jan-akbari_if-your-team-is-not-engaged-check-your-activity-7440004075905114113-qQat,maryam-jan-akbari,7440004075905114113,2026-03-18T12:05:08,12,48.2,alliestories8;drbatliwala;embracefulfillment;mariasabio;maryam-jan-akbari;posts;raj-vaibhaav;renemadden;rupalyadav999;sara-a-riedel;sliwowskik;victortrieu
https://www.linkedin.com/posts/maryam-jan-akbari_most-leadership-problems-are-identity-problems-activity-7439641701666893824-PnyG,maryam-jan-akbari,7439641701666893824,2026-03-17T12:02:54,12,55.5,dianekucala;drbatliwala;embracefulfillment;lingabson;mariasabio;maryam-jan-akbari;petrawuest;posts;raj-vaibhaav;renemadden;sara-a-riedel;thejenstanford
https://www.linkedin.com/posts/maryam-jan-akbari_the-most-expensive-thing-women-do-is-stay-activity-7439279335821193219-Dhht,maryam-jan-akbari,7439279335821193219,2026-03-16T12:03:52,12,54.8,alliestories8;drbatliwala;embracefulfillment;lingabson;mariaee;mariasabio;maryam-jan-akbari;posts;raj-vaibhaav;rashmirbalasubramaniam;sara-a-riedel;sliwowskik
https://www.linkedin.com/posts/sara-a-riedel_ai-is-an-echo-chamber-it-reflects-your-level-activity-7433145161032871936-k-fL,sara-a-riedel,7433145161032871936,2026-02-27T13:47:54,12,55.0,bryceplatt;diannewblack;drbatliwala;jessicaesamuels;jorgecalzada;karen-stone-performancehabits;marcellabremer;mariasabio;michellemaldonado;nandiitaa;steveabramson;tiffanymasson
https://www.linkedin.com/posts/dartarieks_zeigarnik-effect-activity-7442185270969389056-7u7S,dartarieks,7442185270969389056,2026-03-24T12:27:17,12,56.5,alliestories8;ashleymunday0;dartarieks;diannewblack;doravanourek;jorgecalzada;kristaps-kazaks;lingabson;patrickcattin;sara-a-riedel;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/alliestories8_independent-thinking-doesnt-just-make-you-activity-7441823621741817856-HIP7,alliestories8,7441823621741817856,2026-03-23T12:32:06,12,55.2,alliestories8;dartarieks;diannewblack;jorgecalzada;kristaps-kazaks;maryam-jan-akbari;michaela-daly-fcca;michellemaldonado;mitapatel1;mohammed-kasujee;patrickcattin;victortrieu
https://www.linkedin.com/posts/dartarieks_you-are-allowed-to-be-unreachable-for-two-activity-7440366450512404480-Xyon,dartarieks,7440366450512404480,2026-03-19T12:09:01,12,52.5,alliestories8;diannewblack;lingabson;marcellabremer;mitapatel1;patrickcattin;paula-beattie-7a89795;petrawuest;sara-a-riedel;sineadmodonovan;steveabramson;thejenstanford
https://www.linkedin.com/posts/dartarieks_youre-mid-focus-when-a-slack-ping-arrives-activity-7439292577880776704-5CY4,dartarieks,7439292577880776704,2026-03-16T12:55:08,12,54.5,alliestories8;jorgecalzada;marcellabremer;mennosiebinga;michaela-daly-fcca;minudatta;mohammed-kasujee;renemadden;sanjivberi;sara-a-riedel;sineadmodonovan;thejenstanford
https://www.linkedin.com/posts/alliestories8_real-development-will-happen-in-rooms-that-activity-7440011633193660417-lgsH,alliestories8,7440011633193660417,2026-03-18T12:45:10,12,35.5,dartarieks;ionaholloway;jorgecalzada;lingabson;mennosiebinga;mohammed-kasujee;patrickcattin;sanjivberi;sineadmodonovan;steveabramson;thejenstanford;yaseengilbert
https://www.linkedin.com/posts/alliestories8_youre-not-busy-youre-hiding-blaise-pascal-activity-7438199697804267520-UqlA,alliestories8,7438199697804267520,2026-03-13T12:34:26,12,53.2,captshawnsequeira;diannewblack;ionaholloway;lingabson;marcellabremer;mariaee;michaela-daly-fcca;mohammed-kasujee;rahul-g-iyer;rashmirbalasubramaniam;sanjivberi;steveabramson
https://www.linkedin.com/posts/lingabson_what-to-do-when-feedback-goes-sideways-activity-7437474969435066368-0pBb,lingabson,7437474969435066368,2026-03-11T12:38:53,12,59.8,alliestories8;ashleymunday0;dartarieks;karen-stone-performancehabits;marcellabremer;mariasabio;minudatta;mitapatel1;petrawuest;priscila-pree-silva;sara-a-riedel;steveabramson
